sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,windspeed,winddirec,datacreationdate,unit,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
屏東(枋山),屏東縣,45,,良好,1.6,0.26,72.7,49.7,35,16,3.4,3.3,0,3.9,341,"2024-05-20 14:00",,0.1,9.3,29,0,120.651472,22.260899,313
大甲（日南國小）,臺中市,55,細懸浮微粒,普通,0.8,0.29,43.8,28.4,30,11,12.1,13.4,1.3,0.8,292,"2024-05-20 14:00",,0.3,17.2,33,0,120.65525382,24.39017512,312
新北(樹林),新北市,27,,良好,0.1,0.26,18,13.0,9,5,15,20.4,5.4,0.9,153,"2024-05-20 14:00",,0.3,8.4,15,0,121.38352778,24.94902778,311
屏東（琉球）,屏東縣,57,細懸浮微粒,普通,1.1,0.26,43.6,49.2,35,17,3.6,5,1.3,0.3,6,"2024-05-20 14:00",,0.2,18,36,1,120.37722,22.35222,204
臺南（麻豆）,臺南市,97,細懸浮微粒,普通,1.5,0.38,48.3,39.4,63,42,15.9,18.2,2.3,0.2,189,"2024-05-20 14:00",,0.3,34.2,63,1,120.24583056,23.17904722,203
高雄（湖內）,高雄市,97,細懸浮微粒,普通,1.8,0.37,61,43.2,72,45,9.2,10.2,1,1.8,273,"2024-05-20 14:00",,0.3,34.1,55,1,120.24535,22.87985556,202
彰化（員林）,彰化縣,78,細懸浮微粒,普通,2.1,0.42,55.1,33.2,51,26,12.7,13.8,1.1,0.7,356,"2024-05-20 14:00",,0.4,26.5,48,2,120.56373,23.96117,201
大城,彰化縣,36,,良好,1.5,0.15,50.4,39.2,24,8,5,6.1,1.1,3,50,"2024-05-20 14:00",,0.1,8.2,24,1,120.26964167,23.85493056,85
富貴角,新北市,37,,良好,0,0.07,37.7,40.2,9,1,0.2,0.2,0,7.9,90,"2024-05-20 14:00",,0,0.5,8,0,121.53656894,25.29681695,84
麥寮,雲林縣,36,,良好,1.2,0.2,48.6,35.6,31,15,5.4,6.2,0.7,2.7,327,"2024-05-20 14:00",,0.1,11,29,0,120.251825,23.753506,83
關山,臺東縣,22,,良好,1.6,0.13,32.9,24.7,16,2,2.6,2.8,0.2,1.6,196,"2024-05-20 14:00",,0.1,4.4,12,1,121.161933,23.045083,80
馬公,澎湖縣,35,,良好,0.6,0.16,38.5,38.6,17,6,3.8,5.4,1.6,2.3,23,"2024-05-20 14:00",,0.1,7.7,22,0,119.566158,23.569031,78
金門,金門縣,42,,良好,0.7,0.23,57.7,38.4,20,11,4.8,5.4,0.6,1.7,20,"2024-05-20 14:00",,0.2,12.8,22,1,118.312256,24.432133,77
