洲名,國家,日期,總確診數,新增確診數
亞洲,台灣,2021-01-01,802,3
亞洲,台灣,2021-01-02,808,6
亞洲,台灣,2021-01-03,812,4
亞洲,台灣,2021-01-04,815,3
亞洲,台灣,2021-01-05,817,2
亞洲,台灣,2021-01-06,819,2
亞洲,台灣,2021-01-07,822,3
亞洲,台灣,2021-01-08,825,3
亞洲,台灣,2021-01-09,828,3
亞洲,台灣,2021-01-10,828,0
亞洲,台灣,2021-01-11,834,6
亞洲,台灣,2021-01-12,838,4
亞洲,台灣,2021-01-13,842,4
亞洲,台灣,2021-01-14,842,0
亞洲,台灣,2021-01-15,843,1
亞洲,台灣,2021-01-16,851,8
亞洲,台灣,2021-01-17,855,4
亞洲,台灣,2021-01-18,862,7
亞洲,台灣,2021-01-19,868,6
亞洲,台灣,2021-01-20,870,2
亞洲,台灣,2021-01-21,881,11
亞洲,台灣,2021-01-22,881,0
亞洲,台灣,2021-01-23,884,3
亞洲,台灣,2021-01-24,889,5
亞洲,台灣,2021-01-25,889,0
亞洲,台灣,2021-01-26,890,1
亞洲,台灣,2021-01-27,893,3
亞洲,台灣,2021-01-28,895,2
亞洲,台灣,2021-01-29,899,4
亞洲,台灣,2021-01-30,909,10
亞洲,台灣,2021-01-31,911,2
亞洲,台灣,2021-02-01,912,1
亞洲,台灣,2021-02-02,915,3
亞洲,台灣,2021-02-03,917,2
亞洲,台灣,2021-02-04,919,2
亞洲,台灣,2021-02-05,923,4
亞洲,台灣,2021-02-06,924,1
亞洲,台灣,2021-02-07,927,3
亞洲,台灣,2021-02-08,928,1
亞洲,台灣,2021-02-09,933,5
亞洲,台灣,2021-02-10,935,2
亞洲,台灣,2021-02-11,936,1
亞洲,台灣,2021-02-12,937,1
亞洲,台灣,2021-02-13,937,0
亞洲,台灣,2021-02-14,937,0
亞洲,台灣,2021-02-15,937,0
亞洲,台灣,2021-02-16,937,0
亞洲,台灣,2021-02-17,938,1
亞洲,台灣,2021-02-18,940,2
亞洲,台灣,2021-02-19,941,1
亞洲,台灣,2021-02-20,942,1
亞洲,台灣,2021-02-21,942,0
亞洲,台灣,2021-02-22,942,0
亞洲,台灣,2021-02-23,942,0
亞洲,台灣,2021-02-24,946,4
亞洲,台灣,2021-02-25,951,5
亞洲,台灣,2021-02-26,951,0
亞洲,台灣,2021-02-27,954,3
亞洲,台灣,2021-02-28,955,1
亞洲,台灣,2021-03-01,955,0
亞洲,台灣,2021-03-02,955,0
亞洲,台灣,2021-03-03,958,3
亞洲,台灣,2021-03-04,960,2
亞洲,台灣,2021-03-05,960,0
亞洲,台灣,2021-03-06,967,7
亞洲,台灣,2021-03-07,969,2
亞洲,台灣,2021-03-08,976,7
亞洲,台灣,2021-03-09,977,1
亞洲,台灣,2021-03-10,978,1
亞洲,台灣,2021-03-11,978,0
亞洲,台灣,2021-03-12,984,6
亞洲,台灣,2021-03-13,984,0
亞洲,台灣,2021-03-14,985,1
亞洲,台灣,2021-03-15,990,5
亞洲,台灣,2021-03-16,990,0
亞洲,台灣,2021-03-17,990,0
亞洲,台灣,2021-03-18,998,8
亞洲,台灣,2021-03-19,1004,6
亞洲,台灣,2021-03-20,1005,1
亞洲,台灣,2021-03-21,1006,1
亞洲,台灣,2021-03-22,1006,0
亞洲,台灣,2021-03-23,1007,1
亞洲,台灣,2021-03-24,1009,2
亞洲,台灣,2021-03-25,1012,3
亞洲,台灣,2021-03-26,1013,1
亞洲,台灣,2021-03-27,1020,7
亞洲,台灣,2021-03-28,1022,2
亞洲,台灣,2021-03-29,1023,1
亞洲,台灣,2021-03-30,1024,1
亞洲,台灣,2021-03-31,1030,6
亞洲,台灣,2021-04-01,1036,6
亞洲,台灣,2021-04-02,1039,3
亞洲,台灣,2021-04-03,1045,6
亞洲,台灣,2021-04-04,1047,2
亞洲,台灣,2021-04-05,1048,1
亞洲,台灣,2021-04-06,1050,2
亞洲,台灣,2021-04-07,1050,0
亞洲,台灣,2021-04-08,1050,0
亞洲,台灣,2021-04-09,1054,4
亞洲,台灣,2021-04-10,1056,2
亞洲,台灣,2021-04-11,1057,1
亞洲,台灣,2021-04-12,1058,1
亞洲,台灣,2021-04-13,1062,4
亞洲,台灣,2021-04-14,1067,5
亞洲,台灣,2021-04-15,1068,1
亞洲,台灣,2021-04-16,1070,2
亞洲,台灣,2021-04-17,1072,2
亞洲,台灣,2021-04-18,1073,1
亞洲,台灣,2021-04-19,1076,3
亞洲,台灣,2021-04-20,1078,2
亞洲,台灣,2021-04-21,1082,4
亞洲,台灣,2021-04-22,1086,4
亞洲,台灣,2021-04-23,1090,4
亞洲,台灣,2021-04-24,1097,7
亞洲,台灣,2021-04-25,1100,3
亞洲,台灣,2021-04-26,1104,4
亞洲,台灣,2021-04-27,1110,6
亞洲,台灣,2021-04-28,1116,6
亞洲,台灣,2021-04-29,1121,5
亞洲,台灣,2021-04-30,1128,7
亞洲,台灣,2021-05-01,1132,4
亞洲,台灣,2021-05-02,1137,5
亞洲,台灣,2021-05-03,1145,8
亞洲,台灣,2021-05-04,1153,8
亞洲,台灣,2021-05-05,1160,7
亞洲,台灣,2021-05-06,1173,13
亞洲,台灣,2021-05-07,1178,5
亞洲,台灣,2021-05-08,1183,5
亞洲,台灣,2021-05-09,1184,1
亞洲,台灣,2021-05-10,1199,15
亞洲,台灣,2021-05-11,1210,11
亞洲,台灣,2021-05-12,1231,21
亞洲,台灣,2021-05-13,1256,25
亞洲,台灣,2021-05-14,1290,34
亞洲,台灣,2021-05-15,1475,185
亞洲,台灣,2021-05-16,1682,207
亞洲,台灣,2021-05-17,2017,335
亞洲,台灣,2021-05-18,2260,243
亞洲,台灣,2021-05-19,2533,273
亞洲,台灣,2021-05-20,2825,292
亞洲,台灣,2021-05-21,3139,314
亞洲,台灣,2021-05-22,3862,723
亞洲,台灣,2021-05-23,4322,460
亞洲,台灣,2021-05-24,4917,595
