洲名,國家,日期,總確診數,新增確診數
亞洲,日本,2021-01-01,239005,3256
亞洲,日本,2021-01-02,242076,3071
亞洲,日本,2021-01-03,245242,3166
亞洲,日本,2021-01-04,248585,3343
亞洲,日本,2021-01-05,253534,4949
亞洲,日本,2021-01-06,259583,6049
亞洲,日本,2021-01-07,267225,7642
亞洲,日本,2021-01-08,275182,7957
亞洲,日本,2021-01-09,283036,7854
亞洲,日本,2021-01-10,289144,6108
亞洲,日本,2021-01-11,294050,4906
亞洲,日本,2021-01-12,298647,4597
亞洲,日本,2021-01-13,304564,5917
亞洲,日本,2021-01-14,311220,6656
亞洲,日本,2021-01-15,318393,7173
亞洲,日本,2021-01-16,325435,7042
亞洲,日本,2021-01-17,331195,5760
亞洲,日本,2021-01-18,336132,4937
亞洲,日本,2021-01-19,341467,5335
亞洲,日本,2021-01-20,347029,5562
亞洲,日本,2021-01-21,352693,5664
亞洲,日本,2021-01-22,357750,5057
亞洲,日本,2021-01-23,362476,4726
亞洲,日本,2021-01-24,366466,3990
亞洲,日本,2021-01-25,369229,2763
亞洲,日本,2021-01-26,373082,3853
亞洲,日本,2021-01-27,377056,3974
亞洲,日本,2021-01-28,381187,4131
亞洲,日本,2021-01-29,384725,3538
亞洲,日本,2021-01-30,388067,3342
亞洲,日本,2021-01-31,390740,2673
亞洲,台灣,2021-01-01,802,3
亞洲,台灣,2021-01-02,808,6
亞洲,台灣,2021-01-03,812,4
亞洲,台灣,2021-01-04,815,3
亞洲,台灣,2021-01-05,817,2
亞洲,台灣,2021-01-06,819,2
亞洲,台灣,2021-01-07,822,3
亞洲,台灣,2021-01-08,825,3
亞洲,台灣,2021-01-09,828,3
亞洲,台灣,2021-01-10,828,0
亞洲,台灣,2021-01-11,834,6
亞洲,台灣,2021-01-12,838,4
亞洲,台灣,2021-01-13,842,4
亞洲,台灣,2021-01-14,842,0
亞洲,台灣,2021-01-15,843,1
亞洲,台灣,2021-01-16,851,8
亞洲,台灣,2021-01-17,855,4
亞洲,台灣,2021-01-18,862,7
亞洲,台灣,2021-01-19,868,6
亞洲,台灣,2021-01-20,870,2
亞洲,台灣,2021-01-21,881,11
亞洲,台灣,2021-01-22,881,0
亞洲,台灣,2021-01-23,884,3
亞洲,台灣,2021-01-24,889,5
亞洲,台灣,2021-01-25,889,0
亞洲,台灣,2021-01-26,890,1
亞洲,台灣,2021-01-27,893,3
亞洲,台灣,2021-01-28,895,2
亞洲,台灣,2021-01-29,899,4
亞洲,台灣,2021-01-30,909,10
亞洲,台灣,2021-01-31,911,2
