statistic_yyy,site_id,people_total,area,population_density
統計年,區域別,年底人口數,土地面積,人口密度
108,新北市板橋區,556897,23.1373,24069
108,新北市三重區,386336,16.317,23677
108,新北市中和區,413069,20.144,20506
108,新北市永和區,220595,5.7138,38607
108,新北市新莊區,420473,19.7383,21302
108,新北市新店區,303445,120.2255,2524
108,新北市樹林區,183926,33.1288,5552
108,新北市鶯歌區,86869,21.1248,4112
108,新北市三峽區,116478,191.4508,608
108,新北市淡水區,178610,70.6565,2528
108,新北市汐止區,203429,71.2354,2856
108,新北市瑞芳區,39536,70.7336,559
108,新北市土城區,237696,29.5578,8042
108,新北市蘆洲區,201883,7.4351,27153
108,新北市五股區,88000,34.8632,2524
108,新北市泰山區,78751,19.1603,4110
108,新北市林口區,115582,54.1519,2134
108,新北市深坑區,23725,20.5787,1153
108,新北市石碇區,7629,144.3498,53
108,新北市坪林區,6689,170.835,39
108,新北市三芝區,22768,65.9909,345
108,新北市石門區,11834,51.2645,231
108,新北市八里區,39531,39.4933,1001
108,新北市平溪區,4546,71.3382,64
108,新北市雙溪區,8665,146.2484,59
108,新北市貢寮區,12033,99.9734,120
108,新北市金山區,21396,49.2132,435
108,新北市萬里區,21872,63.3766,345
108,新北市烏來區,6433,321.1306,20
108,臺北市松山區,204193,9.2878,21985
108,臺北市信義區,220021,11.2077,19631
108,臺北市大安區,307631,11.3614,27077
108,臺北市中山區,227387,13.6821,16619
108,臺北市中正區,158014,7.6071,20772
108,臺北市大同區,126043,5.6815,22185
108,臺北市萬華區,187076,8.8522,21133
108,臺北市文山區,271806,31.509,8626
108,臺北市南港區,120297,21.8424,5507
108,臺北市內湖區,285795,31.5787,9050
108,臺北市士林區,283459,62.3682,4545
108,臺北市北投區,253319,56.8216,4458
108,桃園市桃園區,452824,34.8046,13010
108,桃園市中壢區,417380,76.52,5455
108,桃園市大溪區,95550,105.1206,909
108,桃園市楊梅區,173049,89.1229,1942
108,桃園市蘆竹區,166406,75.5025,2204
108,桃園市大園區,93078,87.3925,1065
108,桃園市龜山區,162921,72.0177,2262
108,桃園市八德區,205974,33.7111,6110
108,桃園市龍潭區,124031,75.2341,1649
108,桃園市平鎮區,228436,47.7532,4784
108,桃園市新屋區,49256,85.0166,579
108,桃園市觀音區,67956,87.9807,772
108,桃園市復興區,12176,350.7775,35
108,臺中市中區,18390,0.8803,20891
108,臺中市東區,75943,9.2855,8179
108,臺中市南區,126571,6.8101,18586
108,臺中市西區,115273,5.7042,20208
108,臺中市北區,147391,6.9376,21245
108,臺中市西屯區,230501,39.8467,5785
108,臺中市南屯區,173532,31.2578,5552
108,臺中市北屯區,283621,62.7034,4523
108,臺中市豐原區,166875,41.1845,4052
108,臺中市東勢區,49773,117.4065,424
108,臺中市大甲區,76822,58.5192,1313
108,臺中市清水區,87587,64.1709,1365
108,臺中市沙鹿區,94755,40.4604,2342
108,臺中市梧棲區,58921,16.6049,3548
108,臺中市后里區,54666,58.9439,927
108,臺中市神岡區,65679,35.0445,1874
108,臺中市潭子區,109324,25.8497,4229
108,臺中市大雅區,95772,32.4109,2955
108,臺中市新社區,24289,68.8874,353
108,臺中市石岡區,14758,18.2105,810
108,臺中市外埔區,32224,42.4099,760
108,臺中市大安區,19111,27.4045,697
108,臺中市烏日區,75610,43.4032,1742
108,臺中市大肚區,57085,37.0024,1543
108,臺中市龍井區,78027,38.0377,2051
108,臺中市霧峰區,65419,98.0779,667
