,code,站名,地址
0,900,基隆,基隆市仁愛區港西街5號
1,910,三坑,基隆市仁愛區德厚里龍安街 206 號
2,920,八堵,基隆市暖暖區八南里八堵路 142 號
3,930,七堵,基隆市七堵區長興里東新街 2 號
4,940,百福,基隆市七堵區堵南里明德三路 1 之 1 號
5,950,五堵,新北市汐止區長安里長安路 17 號
6,960,汐止,新北市汐止區信望里信義路 1 號
7,970,汐科,新北市汐止區大同里大同路二段 182 號
8,980,南港,臺北市南港區南港里南港路一段 313 號 B2
9,990,松山,臺北市信義區松山路 11 號B1
10,1000,臺北,臺北市中正區黎明里北平西路 3 號
11,1001,臺北-環島,臺北市中正區
12,1010,萬華,臺北市萬華區富福里康定路 382 號
13,1020,板橋,新北市板橋區新民里縣民大道二段 7 號　
14,1030,浮洲,新北市板橋區僑中里僑中二街 156 號
15,1040,樹林,新北市樹林區樹北里鎮前街 112 號
16,1050,南樹林,新北市樹林區東山里中山路二段 230 號
17,1060,山佳,新北市樹林區中山里山佳街 28 號
18,1070,鶯歌,新北市鶯歌區東鶯里文化路 68-1號
19,1080,桃園,桃園市桃園區武陵里中正路 1 號
20,1090,內壢,桃園市中壢區中原里中華路一段 267 號
21,1100,中壢,桃園市中壢區石頭里中和路 139 號
22,1110,埔心,桃園市楊梅區埔心里永美路 208 號
23,1120,楊梅,桃園市楊梅區楊梅里大成路 256 號
24,1130,富岡,桃園市楊梅區富岡里成功路 37 號
25,1140,新富,桃園市楊梅區富豐里富全街 1 號
26,1150,北湖,新竹縣湖口鄉東興村北湖路 1 號
27,1160,湖口,新竹縣湖口鄉仁勢村中山路二段 121 號
28,1170,新豐,新竹縣新豐鄉山崎村新興路 202 號
29,1180,竹北,新竹縣竹北市竹義里和平街 59 號
30,1190,北新竹,新竹市 東區東園里中華路一段 291 之 2 號
31,1191,千甲,新竹市 東區水源里千甲路 142 號
32,1192,新莊,新竹市 東區新莊里關東路 310 號
33,1193,竹中,新竹縣竹東鎮頭重里竹中路 145 號
34,1194,六家,新竹縣竹北市隘口里復興三路二段 229 號
35,1201,上員,新竹縣竹東鎮上員里光明路 (無站房)
36,1202,榮華,新竹縣竹東鎮仁愛里北興路 (無站房)
37,1203,竹東,新竹縣竹東鎮雞林里東林路 196 號
38,1204,橫山,新竹縣橫山鄉橫山村橫山路 97 號 (無站房)
39,1205,九讚頭,新竹縣橫山鄉大肚村中豐路二段 286 巷 29 號
40,1206,合興,新竹縣橫山鄉力行村中山街一段 17 號
41,1207,富貴,新竹縣橫山鄉豐田村中山街一段 (無站房)
42,1208,內灣,新竹縣橫山鄉內灣村中正路 6 號
43,1210,新竹,新竹市 東區榮光里中華路二段 445 號
44,1220,三姓橋,新竹市 香山區香山里元培街 32 巷 30 號
45,1230,香山,新竹市 香山區朝山里中華路五段 347 巷 2 弄 27 號
46,1240,崎頂,苗栗縣竹南鎮崎頂里北戶 55 號
47,1250,竹南,苗栗縣竹南鎮竹南里中山路 166 號
48,2110,談文,苗栗縣造橋鄉談文村仁愛路 29 號
49,2120,大山,苗栗縣後龍鎮大山里明山路 180 號
50,2130,後龍,苗栗縣後龍鎮北龍里車站街 127-2 號
51,2140,龍港,苗栗縣後龍鎮龍京里公司寮 85 號
52,2150,白沙屯,苗栗縣通霄鎮白西里白西 131 號
53,2160,新埔,苗栗縣通霄鎮新埔里新埔 57 號
54,2170,通霄,苗栗縣通霄鎮通西里中正路 109 號
55,2180,苑裡,苗栗縣苑裡鎮苑北里中山路 165 號
56,2190,日南,臺中市大甲區孟春里中山路二段 140 巷 8 號
57,2200,大甲,臺中市大甲區大甲里中山路一段 828 號
58,2210,臺中港,臺中市清水區頂湳里甲南路 2 號
59,2220,清水,臺中市清水區南社里中正街 115 號
60,2230,沙鹿,臺中市沙鹿區沙鹿里中正街 94 號
61,2240,龍井,臺中市龍井區龍泉里龍新路 1 號
62,2250,大肚,臺中市大肚區頂街里平和街 121 號
63,2260,追分,臺中市大肚區王田里追分街 13 號
64,3140,造橋,苗栗縣造橋鄉造橋村平仁路 54 號
65,3150,豐富,苗栗縣後龍鎮校椅里高鐵一路 66 號
66,3160,苗栗,苗栗縣苗栗市上苗里為公路 1 號
67,3170,南勢,苗栗縣苗栗市新英里南勢 39 號
68,3180,銅鑼,苗栗縣銅鑼鄉銅鑼村大同路 13 號
69,3190,三義,苗栗縣三義鄉雙湖村雙湖 90 號
70,3210,泰安,臺中市后里區泰安里安眉路 37 之 12 號
71,3220,后里,臺中市后里區義里里甲后路一段 1 號
72,3230,豐原,臺中市豐原區豐原里中正路 1-1號
73,3240,栗林,臺中市潭子區潭豐路二段747號
74,3250,潭子,臺中市潭子區中山路二段352-1號
75,3260,頭家厝,臺中市潭子區頭張東路43巷8號
76,3270,松竹,臺中市北屯區舊社里松竹路一段1473巷100號
77,3280,太原,臺中市北屯區北興里東光路 665 號
78,3290,精武,臺中市東區東南里東光路 161號
79,3300,臺中,臺中市中區綠川里臺灣大道一段 1 號
80,3310,五權,臺中市南區建國南路二段201號
81,3320,大慶,臺中市南區樹德里7鄰大慶街2段130號
82,3330,烏日,臺中市烏日區烏日里三民街 258 號
83,3340,新烏日,臺中市烏日區三和里高鐵東一路 26 號
84,3350,成功,臺中市烏日區榮泉里中山路三段 550 號
85,3360,彰化,彰化縣彰化市長樂里三民路 1 號
86,3370,花壇,彰化縣花壇鄉花壇村中正路 370 號
87,3380,大村,彰化縣大村鄉過溝村福進路 100 號
88,3390,員林,彰化縣員林市和平里民權街55 號
89,3400,永靖,彰化縣永靖鄉崙子村崙饒路25 號
90,3410,社頭,彰化縣社頭鄉廣興村社站路 10 號
91,3420,田中,彰化縣田中鎮中路里中州路一段 1 號
92,3430,二水,彰化縣二水鄉光化村光文路 1 號
93,3431,源泉,彰化縣二水鄉合興村英義路 (無站房)
94,3432,濁水,南投縣名間鄉濁水村車站路 15 號
95,3433,龍泉,南投縣集集鎮隘寮村龍泉巷 (無站房)
96,3434,集集,南投縣集集鎮吳厝里民生路 75 號
97,3435,水里,南投縣水里鄉水里村民生路 440 號
98,3436,車埕,南投縣水里鄉車埕村民權巷 2 號
99,3450,林內,雲林縣林內鄉林中村中山路 42 號
100,3460,石榴,雲林縣斗六市榴北里文明路 31 號
101,3470,斗六,雲林縣斗六市信義里民生路 187 號
102,3480,斗南,雲林縣斗南鎮南昌里中山路 2 號
103,3490,石龜,雲林縣斗南鎮石龜里
104,4050,大林,嘉義縣大林鎮吉林里中山路 2 號
105,4060,民雄,嘉義縣民雄鄉東榮村和平路 2 號
106,4070,嘉北,嘉義市 東區後湖里保建街 110 號
107,4080,嘉義,嘉義市 西區番社里中山路 528 號
108,4090,水上,嘉義縣水上鄉下寮村鴿溪寮 49 號
109,4100,南靖,嘉義縣水上鄉三鎮村三鎮路 26 號
110,4110,後壁,臺南市後壁區後壁里後壁 77 號
111,4120,新營,臺南市新營區中營里中山路 1 號
112,4130,柳營,臺南市柳營區東昇里建國路 1 號
113,4140,林鳳營,臺南市六甲區中社里林鳳營 16 號
114,4150,隆田,臺南市官田區隆田里中山路一段 1 號
115,4160,拔林,臺南市官田區拔林里拔子林 83 之 1 號
116,4170,善化,臺南市善化區光文里中山路 1 號
